ID,匹配关系ID,版本ID,物料项ID,*基本流ID,基本流名称（中文）,基本流名称（英文）,基本流分类,流类型,单位（英文）
43289517186379804,43289517155446789,41524144274399237,42474577542373381,41705997518520331,碳氢化合物，脂肪族，不饱和,"Hydrocarbons, aliphatic, unsaturated",排放到空气/平流层下部 + 对流层上部,基本流,kg
43289517186641925,43289517155446789,41524144274399237,42474577542373381,41705997518520332,碳氢化合物，脂肪族，不饱和,"Hydrocarbons, aliphatic, unsaturated",排放到空气/未指定,基本流,kg
43289517186641930,43289517155446789,41524144274399237,42474577542373381,41705997518520333,碳氢化合物，脂肪族，不饱和,"Hydrocarbons, aliphatic, unsaturated",排放到水/地表水,基本流,kg
43289517186379803,43289517155446789,41524144274399237,42474577542373381,41705997518520334,碳氢化合物，脂肪族，不饱和,"Hydrocarbons, aliphatic, unsaturated",排放到空气/低人口密度，长期,基本流,kg
43289517186117654,43289517155446789,41524144274399237,42474577542373381,41705997518782469,碳氢化合物，脂肪族，不饱和,"Hydrocarbons, aliphatic, unsaturated",排放到水/未指定,基本流,kg
43289517186117644,43289517155446789,41524144274399237,42474577542373381,41705997518782470,碳氢化合物，芳香族,"Hydrocarbons, aromatic",排放到空气/平流层下部 + 对流层上部,基本流,kg
43289517186117648,43289517155446789,41524144274399237,42474577542373381,41705997518782471,碳氢化合物，芳香族,"Hydrocarbons, aromatic",排放到水/地下-,基本流,kg
43289517186117650,43289517155446789,41524144274399237,42474577542373381,41705997518782472,碳氢化合物，芳香族,"Hydrocarbons, aromatic",排放到水/海洋,基本流,kg
43289517186117646,43289517155446789,41524144274399237,42474577542373381,41705997518782473,碳氢化合物，芳香族,"Hydrocarbons, aromatic",排放到空气/未指定,基本流,kg
43289517186117645,43289517155446789,41524144274399237,42474577542373381,41705997518782474,碳氢化合物，芳香族,"Hydrocarbons, aromatic",排放到空气/非城市空气或来自高烟囱的气体,基本流,kg
43289517186117647,43289517155446789,41524144274399237,42474577542373381,41705997518782475,碳氢化合物，芳香族,"Hydrocarbons, aromatic",排放到空气/城市近地空气,基本流,kg
43289517186117649,43289517155446789,41524144274399237,42474577542373381,41705997518782476,碳氢化合物，芳香族,"Hydrocarbons, aromatic",排放到水/地下-，长期,基本流,kg
43289517186117643,43289517155446789,41524144274399237,42474577542373381,41705997518782477,碳氢化合物，芳香族,"Hydrocarbons, aromatic",排放到空气/低人口密度，长期,基本流,kg
43289517186117652,43289517155446789,41524144274399237,42474577542373381,41705997518782478,碳氢化合物，芳香族,"Hydrocarbons, aromatic",排放到水/未指定,基本流,kg
43289517186117651,43289517155446789,41524144274399237,42474577542373381,41705997518782479,碳氢化合物，芳香族,"Hydrocarbons, aromatic",排放到水/地表水,基本流,kg
43289517186117655,43289517155446789,41524144274399237,42474577542373381,41705997518782480,碳氢化合物，氯化,"Hydrocarbons, chlorinated",排放到空气/非城市空气或来自高烟囱的气体,基本流,kg
43289517186117656,43289517155446789,41524144274399237,42474577542373381,41705997518782481,碳氢化合物，氯化,"Hydrocarbons, chlorinated",排放到空气/未指定,基本流,kg
43289517186117642,43289517155446789,41524144274399237,42474577542373381,41705997518782482,碳氢化合物，氯化,"Hydrocarbons, chlorinated",排放到空气/平流层下部 + 对流层上部,基本流,kg
43289517186117657,43289517155446789,41524144274399237,42474577542373381,41705997519044613,碳氢化合物，氯化,"Hydrocarbons, chlorinated",排放到空气/城市近地空气,基本流,kg
43289517186117653,43289517155446789,41524144274399237,42474577542373381,41705997519044614,碳氢化合物，氯化,"Hydrocarbons, chlorinated",排放到空气/低人口密度，长期,基本流,kg
43289517186379783,43289517155446789,41524144274399237,42474577542373381,41705997519044615,碳氢化合物，未指定,"Hydrocarbons, unspecified",排放到水/地下-,基本流,kg
43289517186117658,43289517155446789,41524144274399237,42474577542373381,41705997519044616,碳氢化合物，未指定,"Hydrocarbons, unspecified",排放到空气/非城市空气或来自高烟囱的气体,基本流,kg
43289517186379782,43289517155446789,41524144274399237,42474577542373381,41705997519044617,碳氢化合物，未指定,"Hydrocarbons, unspecified",排放到土壤/未指定,基本流,kg
